id,subject,topic_code,topic_name,question,optionA,optionB,optionC,optionD,answer,explanation,difficulty,tags
L11101-Q001,L11,L11101,AI的定義與分類,以下哪一項最能描述「人工智慧（AI）」的核心目標？,僅執行硬體驅動程式,提供靜態資料儲存空間,讓機器具備自主學習與推理能力,壓縮影音檔案體積,C,AI 的宗旨是使系統能在未知情境中自行學習並做出推論與決策。,1,"[""AI 定義"", ""自主學習""]"
L11101-Q002,L11,L11101,AI的定義與分類,『弱 AI（Weak AI）』又常被稱為？,超人工智慧（ASI）,強 AI（Strong AI）,通用 AI（AGI）,窄域 AI（Narrow AI）,D,弱 / 窄域 AI 針對單一領域或任務運作，與能跨領域推理的通用 AI 相對。,1,"[""弱 AI"", ""窄域 AI""]"
L11101-Q003,L11,L11101,AI的定義與分類,提出『圖靈測試（Turing Test）』以檢驗機器是否具備智能的科學家是？,艾倫‧圖靈（Alan Turing）,馬文‧明斯基（Marvin Minsky）,傑弗瑞‧辛頓（Geoffrey Hinton）,安德魯‧恩（Andrew Ng）,A,艾倫‧圖靈於 1950 年提出用模擬對話判別機器是否能展現與人類無異的智能行為。,1,"[""圖靈測試"", ""歷史""]"
L11101-Q004,L11,L11101,AI的定義與分類,下列哪個年代被稱為第一次 AI 熱潮（AI Spring）？,1970–1980 年代,1950–1960 年代,1990–2000 年代,2010 年以後,B,符號式推理與早期專家系統研究在 1950–1960 年代掀起第一次 AI 熱潮。,1,"[""AI 歷史"", ""第一次熱潮""]"
L11101-Q005,L11,L11101,AI的定義與分類,能在多種領域展現類似人類水準能力的 AI 稱為？,狹域 AI,通用 AI（AGI）,類神經 AI,嵌入式 AI,B,AGI = Artificial General Intelligence，目標是跨領域推理與學習。,1,"[""AGI"", ""分類""]"
L11101-Q006,L11,L11101,AI的定義與分類,下列哪一項不屬於 AI 系統常見的三大面向？,感知（Perception）,推理（Reasoning）,行動（Action）,插值（Interpolation）,D,插值屬數值分析術語，並非 AI 能力面向常見分類。,1,"[""能力面向""]"
L11101-Q007,L11,L11101,AI的定義與分類,『專家系統（Expert System）』主要採用何種 AI 方法？,深度強化學習,符號式規則推理,生成對抗網路,進化計算,B,專家系統透過知識庫與規則庫進行符號式推理判斷。,1,"[""專家系統"", ""符號式 AI""]"
L11101-Q008,L11,L11101,AI的定義與分類,依據學習方式不同，將 AI 劃分為符號式 AI 與______。,機械控制,統計圖模型,計算智能（Computational Intelligence）,雲端運算,C,計算智能仰賴大量資料自動學習，與以專家規則為主的符號式 AI 相對。,1,"[""分類"", ""計算智能""]"
L11101-Q009,L11,L11101,AI的定義與分類,下列何者最常被視為『AI 計算三要素』之一？,紙張（Paper）,資料（Data）,水冷系統,寬頻網路,B,AI 發展依賴資料、演算法、運算力三要素。,1,"[""AI 要素""]"
L11101-Q010,L11,L11101,AI的定義與分類,機器學習（ML）與傳統程式設計最大差異在於？,ML 無需資料,ML 從資料中自動學得規則,傳統程式能自行調參數,ML 只能處理文字,B,ML 將『規則』的產生交給電腦透過數據歸納完成。,1,"[""ML"", ""定義""]"
L11101-Q011,L11,L11101,AI的定義與分類,下列 AI 分類中，何者依『智能水準』區分？,符號式 vs 計算智能,監督式 vs 非監督式學習,弱 AI vs 強 AI,黑盒 vs 白盒模型,C,弱 / 強 AI 依智能表現範圍與深度區分。,1,"[""分類"", ""智能水準""]"
L11101-Q012,L11,L11101,AI的定義與分類,人工智慧一詞最早由誰在 1956 年提出？,唐納德‧赫布,艾倫‧圖靈,赫伯特‧賴特,約翰‧麥卡錫（John McCarthy）,D,John McCarthy 在達特茅斯會議上首次提出 Artificial Intelligence 名稱。,1,"[""AI 歷史""]"
L11101-Q013,L11,L11101,AI的定義與分類,下列哪一個比喻常用來解釋人工神經網路的運作？,行星公轉,水循環系統,人腦的神經元連結,機械槓桿效應,C,神經網路以人腦突觸連接為靈感，透過權重調整學習模式。,1,"[""神經網路""]"
L11101-Q014,L11,L11101,AI的定義與分類,在 AI 分類中，將『感知 ? 認知 ? 行動』視為流程的架構稱為？,TCP/IP,ETL,Sense?Think?Act,CRUD,C,Sense?Think?Act 架構描述機器智能的三階段。,1,"[""流程""]"
L11101-Q015,L11,L11101,AI的定義與分類,下列何者不是人工智慧的常見應用領域？,自動駕駛,語音識別,手動鉛筆削,電子郵件過濾,C,手動削鉛筆沒有自動化智能參與。,1,"[""應用""]"
L11101-Q016,L11,L11101,AI的定義與分類,依是否具『自我意識』區分，哪一類 AI 被視為尚未實現？,反應型機器（Reactive Machine）,有限記憶機器,心智理論機器,專家系統,C,心智理論（Theory of Mind）AI 尚屬理論階段。,1,"[""分類"", ""自我意識""]"
L11101-Q017,L11,L11101,AI的定義與分類,提出『AI 冬天』一詞以描述研發低潮的常見原因不包括？,期望過高與資金不足,硬體算力限制,演算法停滯,軟體授權費用過低,D,軟體授權與 AI 冬天關聯性低。,1,"[""AI 冬天""]"
L11101-Q018,L11,L11101,AI的定義與分類,最早利用邏輯規則演繹做自動定理證明的程式為？,Deep Blue,Logic Theorist,AlphaGo,ELIZA,B,Logic Theorist 於 1955 年開發，被視為第一個 AI 程式。,1,"[""歷史"", ""定理證明""]"
L11101-Q019,L11,L11101,AI的定義與分類,若按『資料輸入／輸出』功能，AI 系統可區分為感測、推理與？,散熱排氣,網路交換,執行致能（Actuation）,磁碟備份,C,感知後需動作致能 (Actuation) 才能影響環境。,1,"[""功能""]"
L11101-Q020,L11,L11101,AI的定義與分類,下列關於「強 AI（Strong AI）」的敘述，何者正確？,僅適合單一任務,能在任務中表現勝過人類且具有意識,必須使用符號式方法,不能進行自我學習,B,強 AI 強調具意識與通用推理能力，目前仍屬研究目標。,1,"[""強 AI""]"
L11101-Q021,L11,L11101,AI的定義與分類,AI 的『黑盒（Black Box）』問題主要指？,視覺介面全暗,程式碼使用黑底,硬體機箱顏色,模型決策過程缺乏可解釋性,D,複雜模型如深度網路難以說明內部推論機制。,1,"[""可解釋性""]"
L11101-Q022,L11,L11101,AI的定義與分類,『Good?old?fashioned AI（GOFAI）』主要指？,深度學習,符號式 AI,進化計算,量子 AI,B,GOFAI 以符號與邏輯規則為核心。,1,"[""GOFAI"", ""符號式""]"
L11101-Q023,L11,L11101,AI的定義與分類,下列哪一組名詞依序對應『弱 AI、強 AI、超人工智慧（ASI）』？,超人類智慧／窄域 AI／通用 AI,通用 AI／窄域 AI／超人類智慧,窄域 AI／超人類智慧／通用 AI,窄域 AI／通用 AI／超人類智慧,D,弱=窄域、強=通用、ASI=超人類智慧階段。,2,"[""分類""]"
L11101-Q024,L11,L11101,AI的定義與分類,以下哪個敘述最能區分『符號式 AI』與『機器學習導向 AI』？,符號式 AI 一定使用 GPU,兩者均不需要資料,一者依賴專家規則，另一者依賴數據歸納,機器學習完全不需特徵工程,C,符號式 AI 人工編碼規則；機器學習透過資料自動學習。,2,"[""符號式"", ""ML""]"
L11101-Q025,L11,L11101,AI的定義與分類,假設一系統能在自然語言對話中騙過 30% 以上受測者，其通過的衡量標準最接近？,BLEU 分數,圖靈測試,蒙地卡羅樹搜尋,貝葉斯最佳化,B,圖靈測試以模擬對話判斷機器智能。,2,"[""圖靈測試""]"
L11101-Q026,L11,L11101,AI的定義與分類,下列哪種分類方法基於『可否產生新資料』區分 AI？,黑盒 vs 白盒,弱 vs 強,符號式 vs 連接式,鑑別式 vs 生成式,D,生成式模型能合成新樣本，鑑別式僅做判別。,2,"[""生成式"", ""鑑別式""]"
L11101-Q027,L11,L11101,AI的定義與分類,『連接主義（Connectionism）』AI 方法主要靈感來源為？,量子疊加,符號邏輯演算,遺傳遺傳學,生物神經系統,D,連接主義以人腦神經元連結為啟發。,2,"[""連接主義""]"
L11101-Q028,L11,L11101,AI的定義與分類,AlphaGo 的成功主要歸功於深度神經網路結合哪種技術？,KNN 演算法,遺傳演算法,蒙地卡羅樹搜尋（MCTS）,短路神經迴路,C,AlphaGo 使用卷積網路 + MCTS 估值搜索。,2,"[""AlphaGo""]"
L11101-Q029,L11,L11101,AI的定義與分類,在 AI 系統評估中，常以『性能?解釋性』兩軸比較模型；下列何者通常性能高但解釋性低？,線性迴歸,決策樹,深度神經網路,邏輯回歸,C,深度網路屬黑盒、性能優異。,2,"[""性能"", ""可解釋""]"
L11101-Q030,L11,L11101,AI的定義與分類,將 AI 依實體形態分為『軟體智能』與『______』。,實體機器人,雲端服務,智慧演算法,人機介面,A,具物理交互能力的 AI 被歸在機器人領域。,2,"[""形態""]"
L11101-Q031,L11,L11101,AI的定義與分類,哪一項能力最能體現廣義 AI 中的『自適應（Adaptation）』？,定時重啟作業系統,硬體風扇自動調速,模型可根據新資料在線更新,儲存空間自動壓縮,C,自適應指 AI 能自我學習調整行為。,2,"[""自適應""]"
L11101-Q032,L11,L11101,AI的定義與分類,在歷史發展上，『深度學習（Deep Learning）』突破的關鍵因素不包括？,大數據的可取得性,GPU 運算能力提升,改良的反向傳播演算法,量子計算普及,D,量子計算尚未成深度學習主流。,2,"[""深度學習"", ""時代""]"
L11101-Q033,L11,L11101,AI的定義與分類,若一 AI 系統可自動從環境獎勵學習策略，通常歸類於？,強化學習導向 AI,符號式推理,無監督分群,專家系統,A,強調與環境互動的為強化學習。,2,"[""分類"", ""RL""]"
L11101-Q034,L11,L11101,AI的定義與分類,在 AI 技能金字塔中，位於最底層、負責原始訊號輸入的層次是？,操控層,認知層,規劃層,感知層,D,感知層負責接收視覺、聽覺等訊號。,2,"[""技能金字塔""]"
L11101-Q035,L11,L11101,AI的定義與分類,『人工智慧』、『機器學習』與『深度學習』的關係，以下何者正確？,深度學習 與 人工智慧 無交集,機器學習 ? 深度學習 ? 人工智慧,人工智慧 ? 機器學習 ? 深度學習,深度學習 ? 機器學習 ? 人工智慧,D,深度學習為 ML 子集，ML 又為 AI 子集。,2,"[""關係""]"
L11101-Q036,L11,L11101,AI的定義與分類,AI 模型可解釋性（Explainability）研究的主要目的為？,讓人類理解模型決策邏輯,提高 GPU 算速,壓縮模型檔案,降低網路延遲,A,可解釋性有助信任與法規遵循。,2,"[""可解釋性""]"
L11101-Q037,L11,L11101,AI的定義與分類,布魯克斯（Rodney Brooks）提倡的『行動式機器人』強調？,從感知直接映射行動，弱化內部符號推理,增強邏輯規則庫,使用大型語言模型,僅限模擬環境,A,行動式機器人以 subsumption 架構實現反應式控制。,2,"[""行動式""]"
L11101-Q038,L11,L11101,AI的定義與分類,將 AI 系統分為『知覺智能』與『認知智能』主要依據？,處理資訊層級,硬體品牌,能源效率,程式語言,A,知覺負責感官輸入，認知處理推理決策。,2,"[""分層""]"
L11101-Q039,L11,L11101,AI的定義與分類,若 AI 可生成小說與詩詞，其主要表現了哪種智能？,創造智能（Creative Intelligence）,社交智能,體能智能,情緒智能,A,創造智能指合成原創內容的能力。,2,"[""創造智能""]"
L11101-Q040,L11,L11101,AI的定義與分類,下列何者用來衡量對話 AI 是否能持續維持主題、避免答非所問？,語境一致性（Context Coherence）,召回率,真實度分數,FLOPS,A,語境一致性是衡量語言智能的重要指標。,2,"[""評估"", ""對話""]"
L11101-Q041,L11,L11101,AI的定義與分類,在 AI 歷史中，ELIZA 被視為語言理解里程碑，其主要技術是？,隨機森林分類,深度神經網路,基於模式匹配的對話腳本,蒙地卡羅搜索,C,ELIZA 使用簡易規則與關鍵字匹配。,2,"[""ELIZA"", ""歷史""]"
L11101-Q042,L11,L11101,AI的定義與分類,『智慧爆炸（Intelligence Explosion）』假說與哪位科學家關聯最深？,J. McCarthy,I. J. Good,J. Schmidhuber,A. Newell,B,Good 在 1965 年提出自我完善 AI 可能帶來智慧爆炸。,2,"[""ASI"", ""爆炸""]"
